,2935/2977,6777/6870,3056/3102,3056/3101,744/749,4284/4346,1113/1124,2298/2329,2308/2339,6619/6711
2935/2977,0.0,201.21442,164.9112,205.66791,258.5734,264.29578,229.05267,249.86743,207.05566,241.88501
6777/6870,201.21442,-0.00012207031,191.07654,238.763,283.11063,208.00323,268.5964,249.67838,270.84705,253.52454
3056/3102,164.9112,191.07654,0.0,26.257324,279.41687,223.44025,194.96613,208.4685,252.62439,249.10419
3056/3101,205.66791,238.763,26.257324,-6.1035156e-05,332.5835,308.46838,246.93793,300.73657,328.13135,314.05585
744/749,258.5734,283.11063,279.41687,332.5835,0.00012207031,311.1708,281.43634,261.70935,194.58417,30.382599
4284/4346,264.29578,208.00323,223.44025,308.46838,311.1708,0.0,189.51935,115.66687,199.48688,279.84778
1113/1124,229.05267,268.5964,194.96613,246.93793,281.43634,189.51935,0.0,129.9784,290.59592,258.30194
2298/2329,249.86743,249.67838,208.4685,300.73657,261.70935,115.66687,129.9784,0.0,145.00684,224.36389
2308/2339,207.05566,270.84705,252.62439,328.13135,194.58417,199.48688,290.59592,145.00684,0.0,174.40314
6619/6711,241.88501,253.52454,249.10419,314.05585,30.382599,279.84778,258.30194,224.36389,174.40314,-3.0517578e-05
